구분,코드,산업명,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
(주)CMG제약,58820,  의료용 물질 및 의약품 제조업,58.17,71.66,61.54,62.93,63.74,59.64,56.57,54.4,50.66
(주)DB하이텍,990,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",82.94,83.4,81.92,75.89,65.54,62.49,62.7,67.83,63.57
(주)ES큐브,50120,  도매 및 상품 중개업,69.79,71.64,74.25,82.21,83.32,81.76,82.19,82.07,79.6
(주)HJ중공업,97230,  기타 운송장비 제조업,93.13,0,98.63,99.96,96.62,92.11,88.93,88.59,89.41
(주)MH에탄올,23150,  음료 제조업,75.72,77.99,71.81,75.76,72.29,69.46,71.63,73.13,75.36
(주)SH에너지화학,2360,  화학물질 및 화학제품 제조업; 의약품 제외,92.95,93.02,92.87,86.72,83.73,83.84,87.57,93.53,95.44
(주)SIMPAC,9160,  기타 기계 및 장비 제조업,79.35,81.35,80.12,82.79,80.38,81.53,82.94,90.59,91.11
(주)SNT에너지,100840,  기타 기계 및 장비 제조업,92.78,83.15,80.6,83.88,77.78,80.67,79.34,85.12,83.96
(주)SNT홀딩스,36530,  전문 서비스업,0,0,0,0,0,0,0,0,0
(주)STX,11810,  도매 및 상품 중개업,95.58,97.11,95.73,95.51,99.27,101.95,96.64,99.24,99
(주)TCC스틸,2710,  1차 금속 제조업,91.71,90.64,91.86,90.95,89.04,88.75,91.22,91.32,92.04
(주)가비아,79940,  출판업,61.44,61.05,60.63,61.21,59.46,58.27,58.36,57.35,59.28
(주)강스템바이오텍,217730,  연구개발업,0,0,0,0,17.03,6.84,44.54,27.63,50.14
(주)강원랜드,35250,  스포츠 및 오락관련 서비스업,41.94,49.43,52.94,47.8,46.28,46.15,48.98,50.64,48.39
(주)강원에너지,114190,  금속가공제품 제조업; 기계 및 가구 제외,74.93,80.25,76.82,78.8,82.95,83.71,98.96,93.14,114.43
(주)갤럭시아에스엠,11420,  스포츠 및 오락관련 서비스업,82.45,90.23,91.26,94.72,90.09,99.15,100.41,109.45,93.75
(주)경농,2100,  화학물질 및 화학제품 제조업; 의약품 제외,65.5,63.41,61.44,60.19,61.33,63.11,63.54,62.52,62.53
(주)경동나비엔,9450,  전기장비 제조업,77.49,78.56,76.47,76.74,74.69,72.92,74.27,75.46,73.11
